fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productrefundamount,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,itemquantity,itemrevenue,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,ts_timeonsite
8.64943935109386e+18,Direct,41683,United States,"",,,115,11,9,2017-07-09,1499637786,EVENT,,1,24,,GGOEAHPA004110,Android Wool Heather Cap Heather/Black,${escCatTitle},(not set),USD,,,,,Android Wool Heather Cap Heather/Black,,/google+redesign/,3,1,,1969-12-31 19:01:55
7.188897475147963e+18,Direct,34953,Taiwan,"",,,35,4,1,2017-07-07,1499415757,PAGE,,,8,,GGOEGOBC078699,Google Luggage Tag,Home/Accessories/Fun/,(not set),USD,,,,,Fun | Accessories | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:35
4.942437730283847e+18,Affiliates,54451,Taiwan,"",,,176,19,2,2017-07-11,1499759843,PAGE,,,55,,GGOEGETB023799,Google Power Bank,Home/Electronics/,(not set),USD,,,,,Electronics | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:02:56
6.58380708823475e+18,Referral,347772,Taiwan,"",,,348,8,,2016-09-24,1474773332,PAGE,,,24,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/,(not set),USD,,,,,Shop by Brand,,/google+redesign/,0,1,,1969-12-31 19:05:48
9.235343203600523e+18,Referral,328592,Singapore,"",,,491,10,,2017-04-11,1491977079,PAGE,,,149,,GGOEGAAX0794,Nest® Learning Thermostat 3rd Gen-USA,Home/Nest/Nest-USA/,(not set),USD,,,,,Nest-USA,,/google+redesign/,0,1,,1969-12-31 19:08:11
1.0736150748283954e+18,Direct,69397,Taiwan,"",,,94,7,1,2017-07-07,1499495558,PAGE,,,1,,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Home/Office/Office Other/,(not set),USD,,,,,Other | Office | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:34
2.4671825306336963e+18,Organic Search,115340,Singapore,"",,,671,13,,2016-10-29,1477796680,PAGE,,,73,,GGOEGEHB071499,Google PowerKit,(not set),(not set),USD,,,,,Store search results,,/asearch.html,0,1,,1969-12-31 19:11:11
8.866053089227976e+17,Direct,0,Singapore,"",,,,1,,2016-08-14,1471223624,PAGE,,,1,,GGOEGFYQ016599,Foam Can and Bottle Cooler,Home/Accessories/Drinkware/,(not set),USD,,,,,Drinkware,,/google+redesign/,0,1,,
4.817405230141146e+18,Organic Search,48986,Greece,"",,,49,4,,2017-01-19,1484849577,PAGE,,,23,,GGOEGAAX0659,Google Toddler Raglan Shirt Blue Heather/Navy,Home/Apparel/Kid's/,(not set),USD,,,,,Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:49
8.664727411455161e+18,Direct,0,India,"",,,,1,,2017-05-26,1495861019,PAGE,,,20,,GGOEGAAX0355,Google Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
6.03358708967076e+17,Direct,6345,Singapore,"",,,44,7,1,2017-07-26,1501130386,PAGE,,,18,,GGOEGAAX0338,Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:44
4.275026972904176e+18,Organic Search,6954,Taiwan,"",,,31,3,,2017-04-25,1493113777,PAGE,,,3,,GGOEGOAQ018099,Pen Pencil & Highlighter Set,Home/Office/,(not set),USD,,,,,Office | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:31
8.49881226667768e+18,Organic Search,0,Singapore,"",,,103,2,1,2017-07-09,1499612331,PAGE,,,20,,GGOEGAAX0357,Android Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:43
5.404159367315844e+18,Organic Search,0,India,"",,,,1,,2017-02-20,1487605539,PAGE,,,16,,GGOEGAAX0105,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
1.8352225189479658e+17,Organic Search,0,India,"",,,76,2,,2017-04-25,1493131237,PAGE,,,24,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:16
9.171060095794305e+18,Direct,877719,Taiwan,"",,,878,4,,2017-04-01,1491072415,PAGE,,,8,,GGOEYOBR078599,YouTube Luggage Tag,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:14:38
9.531245963183202e+18,Organic Search,0,Bangladesh,"",,,,1,,2016-12-15,1481871514,PAGE,,,16,,GGOEGAAX0107,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,
5.339087237622467e+18,Organic Search,25935,Taiwan,"",,,531,5,,2016-12-31,1483190150,PAGE,,,6,,GGOEYOLR018699,YouTube Leatherette Notebook Combo,(not set),(not set),USD,,,,,Store search results,,/asearch.html,0,1,,1969-12-31 19:08:51
5.383558742573952e+18,Organic Search,0,Taiwan,"",,,29,2,,2017-03-26,1490597463,PAGE,,,21,,GGOEYHPA003510,YouTube Trucker Hat,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:29
2.934426581870702e+16,Direct,40045,Taiwan,"",,,57,5,,2016-12-01,1480648697,PAGE,,,16,,GGOEGAAX0664,Android Toddler Short Sleeve T-shirt Aqua,Home/Apparel/Kid's/Kid's-Toddler/,(not set),USD,,,,,Toddler | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:57
6.52738919249387e+18,Direct,12935,Taiwan,"",,,13,2,,2017-02-05,1486352166,PAGE,,,74,,GGOEGAAX0604,Google Women's Quilted Insulated Vest Black,Home/Apparel/Women's/Women's-Outerwear/,(not set),USD,,,,,Women's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:00:13
3.5791100208136817e+18,Direct,71346,Taiwan,"",,,87,3,,2017-06-07,1496887622,PAGE,,,6,,GGOEGCBB074199,Google Car Clip Phone Holder,Home/Shop by Brand/Google/,(not set),USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,,1969-12-31 19:01:27
